"","participant","cue","response","response_order","condition"
"1","MM_001","glasses","eye",1,"c"
"2","MM_001","glasses","cocomelon",2,"c"
"3","MM_001","glasses","contacts",3,"c"
"4","MM_001","hi","hello",1,"c"
"5","MM_001","hi","hola",2,"c"
"6","MM_001","hi","hey",3,"c"
"7","MM_001","pillow","face",1,"c"
"8","MM_001","pillow","bed",2,"c"
"9","MM_001","pillow","couch",3,"c"
"10","MM_001","little","baby",1,"c"
"11","MM_001","little","newborn",2,"c"
"12","MM_001","little","toddler",3,"c"
"13","MM_001","ankle","leg",1,"c"
"14","MM_001","ankle","foot",2,"c"
"15","MM_001","ankle","bracelet",3,"c"
"16","MM_001","jump","trampoline",1,"c"
"17","MM_001","jump","rocket",2,"c"
"18","MM_001","jump","rope",3,"c"
"19","MM_001","hat","head",1,"c"
"20","MM_001","hat","newborn",2,"c"
"21","MM_001","hat","cat",3,"c"
"22","MM_001","careful","toddler",1,"c"
"23","MM_001","careful","street",2,"c"
"24","MM_001","careful","candle",3,"c"
"25","MM_001","run","bus",1,"c"
"26","MM_001","run","pe",2,"c"
"27","MM_001","run","place",3,"c"
"28","MM_001","turn","street",1,"c"
"29","MM_001","turn","car",2,"c"
"30","MM_001","turn","swing",3,"c"
"31","MM_001","talk","baby",1,"c"
"32","MM_001","talk","walk",2,"c"
"33","MM_001","talk","dogs",3,"c"
"34","MM_001","show","tv",1,"c"
"35","MM_001","show","graciecorner",2,"c"
"36","MM_001","show","docmcstuffins",3,"c"
"37","MM_001","tiny","newborn",1,"c"
"38","MM_001","tiny","dog",2,"c"
"39","MM_001","tiny","house",3,"c"
"40","MM_001","yogurt","spongebob",1,"c"
"41","MM_001","yogurt","bluey",2,"c"
"42","MM_001","yogurt","gogurt",3,"c"
"43","MM_001","mommy","mama",1,"c"
"44","MM_001","mommy","ma",2,"c"
"45","MM_001","mommy","mother",3,"c"
"46","MM_001","people","babies",1,"c"
"47","MM_001","people","toddlers",2,"c"
"48","MM_001","people","adults",3,"c"
"49","MM_001","drive","car",1,"c"
"50","MM_001","drive","truck",2,"c"
"51","MM_001","drive","adults",3,"c"
"52","MM_001","why","when",1,"c"
"53","MM_001","why","where",2,"c"
"54","MM_001","why","how",3,"c"
"55","MM_001","light","red",1,"c"
"56","MM_001","light","green",2,"c"
"57","MM_001","light","yellow",3,"c"
"58","MM_001","pizza","rolls",1,"c"
"59","MM_001","pizza","pockets",2,"c"
"60","MM_001","pizza","cheese",3,"c"
"61","MM_001","kitchen","clean",1,"c"
"62","MM_001","kitchen","highchair",2,"c"
"63","MM_001","kitchen","grits",3,"c"
"64","MM_001","coffee","matcha",1,"c"
"65","MM_001","coffee","expresso",2,"c"
"66","MM_001","coffee","creamer",3,"c"
"67","MM_001","fine","mood",1,"c"
"68","MM_001","fine","feelings",2,"c"
"69","MM_001","fine","looks",3,"c"
"70","MM_001","coke","drink",1,"c"
"71","MM_001","coke","zero",2,"c"
"72","MM_001","coke","diet",3,"c"
"73","MM_001","mine","toys",1,"c"
"74","MM_001","mine","food",2,"c"
"75","MM_001","mine","belongings",3,"c"
"76","MM_001","hug","cheerful",1,"c"
"77","MM_001","hug","happy",2,"c"
"78","MM_001","hug","loving",3,"c"
"79","MM_001","bench","pe",1,"c"
"80","MM_001","bench","bus",2,"c"
"81","MM_001","bench","porch",3,"c"
"82","MM_001","stand","alone",1,"c"
"83","MM_001","stand","woddle",2,"c"
"84","MM_001","stand","walk",3,"c"
"85","MM_001","love","parents",1,"c"
"86","MM_001","love","nephew",2,"c"
"87","MM_001","love","home",3,"c"
"88","MM_001","thirsty","water",1,"c"
"89","MM_001","thirsty","milk",2,"c"
"90","MM_001","thirsty","baby",3,"c"
"91","MM_001","buy","toys",1,"c"
"92","MM_001","buy","food",2,"c"
"93","MM_001","buy","car",3,"c"
"94","MM_001","climb","rock",1,"c"
"95","MM_001","climb","couch",2,"c"
"96","MM_001","climb","bed",3,"c"
"97","MM_001","kiss","lips",1,"c"
"98","MM_001","kiss","hug",2,"c"
"99","MM_001","kiss","baby",3,"c"
"100","MM_001","bedroom","bed",1,"c"
"101","MM_001","bedroom","crib",2,"c"
"102","MM_001","bedroom","tv",3,"c"
"103","MM_001","doctor","needles",1,"c"
"104","MM_001","doctor","blood",2,"c"
"105","MM_001","doctor","chart",3,"c"
"106","MM_001","like","dislike",1,"c"
"107","MM_001","like","humans",2,"c"
"108","MM_001","like","dogs",3,"c"
"109","MM_001","tiger","cat",1,"c"
"110","MM_001","tiger","leo",2,"c"
"111","MM_001","tiger","lion",3,"c"
"112","MM_001","take","money",1,"c"
"113","MM_001","take","toys",2,"c"
"114","MM_001","take","scissors",3,"c"
"115","MM_001","yes","no",1,"c"
"116","MM_001","yes","why",2,"c"
"117","MM_001","yes","huh",3,"c"
"118","MM_001","share","toys",1,"c"
"119","MM_001","share","ipad",2,"c"
"120","MM_001","share","facebook",3,"c"
"121","MM_001","dance","circle",1,"c"
"122","MM_001","dance","chuckycheese",2,"c"
"123","MM_001","dance","mat",3,"c"
"124","MM_001","medicine","cold",1,"c"
"125","MM_001","medicine","flu",2,"c"
"126","MM_001","medicine","fever",3,"c"
"127","MM_001","please","why",1,"c"
"128","MM_001","please","no",2,"c"
"129","MM_001","please","baby",3,"c"
"130","MM_001","empty","trash",1,"c"
"131","MM_001","empty","milk",2,"c"
"132","MM_001","empty","fridge",3,"c"
"133","MM_001","more","food",1,"c"
"134","MM_001","more","toys",2,"c"
"135","MM_001","more","candy",3,"c"
"136","MM_001","daddy","parent",1,"c"
"137","MM_001","daddy","dad",2,"c"
"138","MM_001","daddy","dada",3,"c"
"139","MM_001","try","again",1,"c"
"140","MM_001","try","endlessly",2,"c"
"141","MM_001","try","more",3,"c"
"142","MM_001","purse","crossbody",1,"c"
"143","MM_001","purse","handbag",2,"c"
"144","MM_001","purse","shoulder",3,"c"
"145","MM_001","game","xbox",1,"c"
"146","MM_001","game","playstation",2,"c"
"147","MM_001","game","grandtheftauto",3,"c"
"148","MM_001","teacher","school",1,"c"
"149","MM_001","teacher","learn",2,"c"
"150","MM_001","teacher","headstart",3,"c"
"151","MM_001","wind","storm",1,"c"
"152","MM_001","wind","cold",2,"c"
"153","MM_001","wind","jacket",3,"c"
"154","MM_001","movie","theater",1,"c"
"155","MM_001","movie","cloudymeatballs",2,"c"
"156","MM_001","movie","mermaids",3,"c"
"157","MM_001","truck","stop",1,"c"
"158","MM_001","truck","drive",2,"c"
"159","MM_001","truck","driver",3,"c"
"160","MM_001","with","you",1,"c"
"161","MM_001","with","",2,"c"
"162","MM_001","with","",3,"c"
"163","MM_001","will","humans",1,"c"
"164","MM_001","will","freewill",2,"c"
"165","MM_001","will","chance",3,"c"
"166","MM_001","feed","babies",1,"c"
"167","MM_001","feed","toddlers",2,"c"
"168","MM_001","feed","yourself",3,"c"
"169","MM_001","church","service",1,"c"
"170","MM_001","church","christians",2,"c"
"171","MM_001","church","baptist",3,"c"
"172","MM_001","high","swing",1,"c"
"173","MM_001","high","drugs",2,"c"
"174","MM_001","high","slide",3,"c"
"175","MM_001","shopping","mall",1,"c"
"176","MM_001","shopping","eastchase",2,"c"
"177","MM_001","shopping","center",3,"c"
"178","MM_001","sneaker","ball",1,"c"
"179","MM_001","sneaker","shoes",2,"c"
"180","MM_001","sneaker","feet",3,"c"
"181","MM_002","high","school",1,"c"
"182","MM_002","high","drugs",2,"c"
"183","MM_002","high","sky",3,"c"
"184","MM_002","hat","top",1,"c"
"185","MM_002","hat","abraham",2,"c"
"186","MM_002","hat","sunny",3,"c"
"187","MM_002","truck","trucker",1,"c"
"188","MM_002","truck","lifted",2,"c"
"189","MM_002","truck","texas",3,"c"
"190","MM_002","drive","car",1,"c"
"191","MM_002","drive","far",2,"c"
"192","MM_002","drive","road",3,"c"
"193","MM_002","yogurt","probiotic",1,"c"
"194","MM_002","yogurt","healthy",2,"c"
"195","MM_002","yogurt","strawberry",3,"c"
"196","MM_002","will","free",1,"c"
"197","MM_002","will","friend",2,"c"
"198","MM_002","will","power",3,"c"
"199","MM_002","doctor","smart",1,"c"
"200","MM_002","doctor","money",2,"c"
"201","MM_002","doctor","hospital",3,"c"
"202","MM_002","more","money",1,"c"
"203","MM_002","more","power",2,"c"
"204","MM_002","more","strong",3,"c"
"205","MM_002","love","boyfriend",1,"c"
"206","MM_002","love","family",2,"c"
"207","MM_002","love","friends",3,"c"
"208","MM_002","shopping","ifting",1,"c"
"209","MM_002","shopping","friends",2,"c"
"210","MM_002","shopping","broke",3,"c"
"211","MM_002","movie","theatre",1,"c"
"212","MM_002","movie","long",2,"c"
"213","MM_002","movie","spiderman",3,"c"
"214","MM_002","ankle","twisted",1,"c"
"215","MM_002","ankle","hurt",2,"c"
"216","MM_002","ankle","swollen",3,"c"
"217","MM_002","yes","no",1,"c"
"218","MM_002","yes","day",2,"c"
"219","MM_002","yes","okay",3,"c"
"220","MM_002","teacher","school",1,"c"
"221","MM_002","teacher","mean",2,"c"
"222","MM_002","teacher","apple",3,"c"
"223","MM_002","tiger","mike",1,"c"
"224","MM_002","tiger","zoo",2,"c"
"225","MM_002","tiger","cage",3,"c"
"226","MM_002","try","on",1,"c"
"227","MM_002","try","it",2,"c"
"228","MM_002","try","out",3,"c"
"229","MM_002","buy","best",1,"c"
"230","MM_002","buy","store",2,"c"
"231","MM_002","buy","shopping",3,"c"
"232","MM_002","run","athlete",1,"c"
"233","MM_002","run","marathon",2,"c"
"234","MM_002","run","hard",3,"c"
"235","MM_002","church","bells",1,"c"
"236","MM_002","church","priest",2,"c"
"237","MM_002","church","school",3,"c"
"238","MM_002","fine","toll",1,"c"
"239","MM_002","fine","ticket",2,"c"
"240","MM_002","fine","okay",3,"c"
"241","MM_002","coffee","hot",1,"c"
"242","MM_002","coffee","cold",2,"c"
"243","MM_002","coffee","latte",3,"c"
"244","MM_002","people","friends",1,"c"
"245","MM_002","people","family",2,"c"
"246","MM_002","people","alot",3,"c"
"247","MM_002","empty","glass",1,"c"
"248","MM_002","empty","box",2,"c"
"249","MM_002","empty","heart",3,"c"
"250","MM_002","like","love",1,"c"
"251","MM_002","like","alot",2,"c"
"252","MM_002","like","able",3,"c"
"253","MM_002","wind","outside",1,"c"
"254","MM_002","wind","cold",2,"c"
"255","MM_002","wind","breeze",3,"c"
"256","MM_002","take","on",1,"c"
"257","MM_002","take","out",2,"c"
"258","MM_002","take","away",3,"c"
"259","MM_002","careful","cautious",1,"c"
"260","MM_002","careful","danger",2,"c"
"261","MM_002","careful","slow",3,"c"
"262","MM_002","coke","cola",1,"c"
"263","MM_002","coke","soda",2,"c"
"264","MM_002","coke","pop",3,"c"
"265","MM_002","kitchen","utensil",1,"c"
"266","MM_002","kitchen","knife",2,"c"
"267","MM_002","kitchen","food",3,"c"
"268","MM_002","purse","red",1,"c"
"269","MM_002","purse","small",2,"c"
"270","MM_002","purse","clear",3,"c"
"271","MM_002","daddy","mommy",1,"c"
"272","MM_002","daddy","brother",2,"c"
"273","MM_002","daddy","family",3,"c"
"274","MM_002","pillow","bed",1,"c"
"275","MM_002","pillow","sleep",2,"c"
"276","MM_002","pillow","relax",3,"c"
"277","MM_002","talk","loud",1,"c"
"278","MM_002","talk","alot",2,"c"
"279","MM_002","talk","whisper",3,"c"
"280","MM_002","kiss","boyfriend",1,"c"
"281","MM_002","kiss","miss",2,"c"
"282","MM_002","kiss","family",3,"c"
"283","MM_002","with","out",1,"c"
"284","MM_002","with","hold",2,"c"
"285","MM_002","with","draw",3,"c"
"286","MM_002","please","sabrina",1,"c"
"287","MM_002","please","help",2,"c"
"288","MM_002","please","beg",3,"c"
"289","MM_002","turn","around",1,"c"
"290","MM_002","turn","away",2,"c"
"291","MM_002","turn","back",3,"c"
"292","MM_002","climb","miley",1,"c"
"293","MM_002","climb","playground",2,"c"
"294","MM_002","climb","tree",3,"c"
"295","MM_002","bedroom","bed",1,"c"
"296","MM_002","bedroom","comfy",2,"c"
"297","MM_002","bedroom","sleep",3,"c"
"298","MM_002","mommy","daddy",1,"c"
"299","MM_002","mommy","brother",2,"c"
"300","MM_002","mommy","home",3,"c"
"301","MM_002","pizza","cheese",1,"c"
"302","MM_002","pizza","pepperoni",2,"c"
"303","MM_002","pizza","crust",3,"c"
"304","MM_002","thirsty","water",1,"c"
"305","MM_002","thirsty","drink",2,"c"
"306","MM_002","thirsty","soda",3,"c"
"307","MM_002","tiny","tim",1,"c"
"308","MM_002","tiny","small",2,"c"
"309","MM_002","tiny","petite",3,"c"
"310","MM_002","hug","bear",1,"c"
"311","MM_002","hug","brother",2,"c"
"312","MM_002","hug","tight",3,"c"
"313","MM_002","show","tv",1,"c"
"314","MM_002","show","tell",2,"c"
"315","MM_002","show","around",3,"c"
"316","MM_002","feed","dog",1,"c"
"317","MM_002","feed","fish",2,"c"
"318","MM_002","feed","deer",3,"c"
"319","MM_002","dance","stars",1,"c"
"320","MM_002","dance","school",2,"c"
"321","MM_002","dance","dancer",3,"c"
"322","MM_002","game","xbox",1,"c"
"323","MM_002","game","playstation",2,"c"
"324","MM_002","game","board",3,"c"
"325","MM_002","why","please",1,"c"
"326","MM_002","why","because",2,"c"
"327","MM_002","why","but",3,"c"
"328","MM_002","stand","alone",1,"c"
"329","MM_002","stand","in",2,"c"
"330","MM_002","stand","out",3,"c"
"331","MM_002","share","class",1,"c"
"332","MM_002","share","him",2,"c"
"333","MM_002","share","it",3,"c"
"334","MM_002","medicine","sick",1,"c"
"335","MM_002","medicine","cold",2,"c"
"336","MM_002","medicine","cough",3,"c"
"337","MM_002","light","dark",1,"c"
"338","MM_002","light","sun",2,"c"
"339","MM_002","light","day",3,"c"
"340","MM_002","mine","diamond",1,"c"
"341","MM_002","mine","worker",2,"c"
"342","MM_002","mine","owner",3,"c"
"343","MM_002","jump","rope",1,"c"
"344","MM_002","jump","around",2,"c"
"345","MM_002","jump","fun",3,"c"
"346","MM_002","sneaker","shoe",1,"c"
"347","MM_002","sneaker","store",2,"c"
"348","MM_002","sneaker","run",3,"c"
"349","MM_002","glasses","blind",1,"c"
"350","MM_002","glasses","bad",2,"c"
"351","MM_002","glasses","me",3,"c"
"352","MM_002","bench","mark",1,"c"
"353","MM_002","bench","sit",2,"c"
"354","MM_002","bench","outside",3,"c"
"355","MM_002","hi","hello",1,"c"
"356","MM_002","hi","hey",2,"c"
"357","MM_002","hi","bye",3,"c"
"358","MM_002","little","big",1,"c"
"359","MM_002","little","one",2,"c"
"360","MM_002","little","sorority",3,"c"
"361","MM_003","stand","up",1,"cl"
"362","MM_003","stand","straight",2,"cl"
"363","MM_003","stand","strong",3,"cl"
"364","MM_003","mommy","mom",1,"cl"
"365","MM_003","mommy","mommacita",2,"cl"
"366","MM_003","mommy","mother",3,"cl"
"367","MM_003","purse","bag",1,"cl"
"368","MM_003","purse","pouch",2,"cl"
"369","MM_003","purse","charm",3,"cl"
"370","MM_003","high","far",1,"cl"
"371","MM_003","high","up",2,"cl"
"372","MM_003","high","sky",3,"cl"
"373","MM_003","hi","hello",1,"cl"
"374","MM_003","hi","hey",2,"cl"
"375","MM_003","hi","greeting",3,"cl"
"376","MM_003","careful","cautious",1,"cl"
"377","MM_003","careful","warning",2,"cl"
"378","MM_003","careful","caution",3,"cl"
"379","MM_003","shopping","spending",1,"cl"
"380","MM_003","shopping","clothes",2,"cl"
"381","MM_003","shopping","money",3,"cl"
"382","MM_003","climb","moutain",1,"cl"
"383","MM_003","climb","up",2,"cl"
"384","MM_003","climb","movement",3,"cl"
"385","MM_003","dance","move",1,"cl"
"386","MM_003","dance","fun",2,"cl"
"387","MM_003","dance","activity",3,"cl"
"388","MM_003","truck","car",1,"cl"
"389","MM_003","truck","big",2,"cl"
"390","MM_003","truck","utility",3,"cl"
"391","MM_003","jump","rise",1,"cl"
"392","MM_003","jump","move",2,"cl"
"393","MM_003","jump","movement",3,"cl"
"394","MM_003","ankle","foot",1,"cl"
"395","MM_003","ankle","leg",2,"cl"
"396","MM_003","ankle","bone",3,"cl"
"397","MM_003","coke","drink",1,"cl"
"398","MM_003","coke","soda",2,"cl"
"399","MM_003","coke","sugar",3,"cl"
"400","MM_003","church","worship",1,"cl"
"401","MM_003","church","wedding",2,"cl"
"402","MM_003","church","priest",3,"cl"
"403","MM_003","sneaker","shoe",1,"cl"
"404","MM_003","sneaker","style",2,"cl"
"405","MM_003","sneaker","active",3,"cl"
"406","MM_003","turn","spin",1,"cl"
"407","MM_003","turn","around",2,"cl"
"408","MM_003","turn","look",3,"cl"
"409","MM_003","more","additonal",1,"cl"
"410","MM_003","more","extra",2,"cl"
"411","MM_003","more","add",3,"cl"
"412","MM_003","yogurt","food",1,"cl"
"413","MM_003","yogurt","snack",2,"cl"
"414","MM_003","yogurt","dairy",3,"cl"
"415","MM_003","run","exersize",1,"cl"
"416","MM_003","run","movement",2,"cl"
"417","MM_003","run","fast",3,"cl"
"418","MM_003","hug","affection",1,"cl"
"419","MM_003","hug","love",2,"cl"
"420","MM_003","hug","care",3,"cl"
"421","MM_003","please","beg",1,"cl"
"422","MM_003","please","want",2,"cl"
"423","MM_003","please","manners",3,"cl"
"424","MM_003","talk","words",1,"cl"
"425","MM_003","talk","noise",2,"cl"
"426","MM_003","talk","communicate",3,"cl"
"427","MM_003","game","sports",1,"cl"
"428","MM_003","game","board",2,"cl"
"429","MM_003","game","fun",3,"cl"
"430","MM_003","little","small",1,"cl"
"431","MM_003","little","tiny",2,"cl"
"432","MM_003","little","less",3,"cl"
"433","MM_003","yes","good",1,"cl"
"434","MM_003","yes","okay",2,"cl"
"435","MM_003","yes","want",3,"cl"
"436","MM_003","love","affection",1,"cl"
"437","MM_003","love","care",2,"cl"
"438","MM_003","love","feeling",3,"cl"
"439","MM_003","pillow","rest",1,"cl"
"440","MM_003","pillow","bed",2,"cl"
"441","MM_003","pillow","comfort",3,"cl"
"442","MM_003","share","give",1,"cl"
"443","MM_003","share","spread",2,"cl"
"444","MM_003","share","have",3,"cl"
"445","MM_003","kiss","affection",1,"cl"
"446","MM_003","kiss","liking",2,"cl"
"447","MM_003","kiss","love",3,"cl"
"448","MM_003","show","present",1,"cl"
"449","MM_003","show","provide",2,"cl"
"450","MM_003","show","see",3,"cl"
"451","MM_003","teacher","educator",1,"cl"
"452","MM_003","teacher","talk",2,"cl"
"453","MM_003","teacher","teach",3,"cl"
"454","MM_003","medicine","fix",1,"cl"
"455","MM_003","medicine","relieve",2,"cl"
"456","MM_003","medicine","provide",3,"cl"
"457","MM_003","light","switch",1,"cl"
"458","MM_003","light","visibility",2,"cl"
"459","MM_003","light","warmth",3,"cl"
"460","MM_003","try","work",1,"cl"
"461","MM_003","try","attempt",2,"cl"
"462","MM_003","try","",3,"cl"
"463","MM_003","bedroom","room",1,"cl"
"464","MM_003","bedroom","personal",2,"cl"
"465","MM_003","bedroom","space",3,"cl"
"466","MM_003","hat","acessory",1,"cl"
"467","MM_003","hat","top",2,"cl"
"468","MM_003","hat","additonal",3,"cl"
"469","MM_003","feed","provide",1,"cl"
"470","MM_003","feed","food",2,"cl"
"471","MM_003","feed","intell",3,"cl"
"472","MM_003","will","want",1,"cl"
"473","MM_003","will","can",2,"cl"
"474","MM_003","will","do",3,"cl"
"475","MM_003","wind","weather",1,"cl"
"476","MM_003","wind","agressive",2,"cl"
"477","MM_003","wind","outside",3,"cl"
"478","MM_003","thirsty","drink",1,"cl"
"479","MM_003","thirsty","water",2,"cl"
"480","MM_003","thirsty","hot",3,"cl"
"481","MM_003","tiger","animal",1,"cl"
"482","MM_003","tiger","mascot",2,"cl"
"483","MM_003","tiger","predator",3,"cl"
"484","MM_003","with","too",1,"cl"
"485","MM_003","with","also",2,"cl"
"486","MM_003","with","beside",3,"cl"
"487","MM_003","why","question",1,"cl"
"488","MM_003","why","unwanting",2,"cl"
"489","MM_003","why","curious",3,"cl"
"490","MM_003","people","humans",1,"cl"
"491","MM_003","people","us",2,"cl"
"492","MM_003","people","them",3,"cl"
"493","MM_003","pizza","food",1,"cl"
"494","MM_003","pizza","pleasure",2,"cl"
"495","MM_003","pizza","unhealthy",3,"cl"
"496","MM_003","mine","property",1,"cl"
"497","MM_003","mine","yours",2,"cl"
"498","MM_003","mine","someones",3,"cl"
"499","MM_003","buy","purchase",1,"cl"
"500","MM_003","buy","shopping",2,"cl"
"501","MM_003","buy","money",3,"cl"
"502","MM_003","coffee","fuel",1,"cl"
"503","MM_003","coffee","caffeine",2,"cl"
"504","MM_003","coffee","morning",3,"cl"
"505","MM_003","movie","watch",1,"cl"
"506","MM_003","movie","see",2,"cl"
"507","MM_003","movie","film",3,"cl"
"508","MM_003","drive","car",1,"cl"
"509","MM_003","drive","wheel",2,"cl"
"510","MM_003","drive","stear",3,"cl"
"511","MM_003","take","want",1,"cl"
"512","MM_003","take","havw",2,"cl"
"513","MM_003","take","need",3,"cl"
"514","MM_003","empty","hollow",1,"cl"
"515","MM_003","empty","blank",2,"cl"
"516","MM_003","empty","nothing",3,"cl"
"517","MM_003","like","adore",1,"cl"
"518","MM_003","like","intrest",2,"cl"
"519","MM_003","like","good",3,"cl"
"520","MM_003","tiny","small",1,"cl"
"521","MM_003","tiny","shor",2,"cl"
"522","MM_003","tiny","light",3,"cl"
"523","MM_003","doctor","physisian",1,"cl"
"524","MM_003","doctor","helper",2,"cl"
"525","MM_003","doctor","care",3,"cl"
"526","MM_003","daddy","dad",1,"cl"
"527","MM_003","daddy","father",2,"cl"
"528","MM_003","daddy","person",3,"cl"
"529","MM_003","kitchen","food",1,"cl"
"530","MM_003","kitchen","appliance",2,"cl"
"531","MM_003","kitchen","house",3,"cl"
"532","MM_003","fine","good",1,"cl"
"533","MM_003","fine","like",2,"cl"
"534","MM_003","fine","okay",3,"cl"
"535","MM_003","bench","seat",1,"cl"
